,Name,Latitude,Longitude,Street1,Street2,Street3,City,CountrySubdivisionCode,Income_x,Population_x,lat-API,long-API,target search add,Income_y,Population_y,Male Pop (%),White (%),Black (%),Asian (%),Hispanic (%),Employed (%),Travel Time to Work (mins),Median Age,Age <18 (%)
88,"Franklin, NJ",41.11,-74.58,111 Rt. 23 South,,,Franklin,NJ,57232.0,4849.0,41.1088992,-74.5808595,"111 Rt. 23 South, Franklin, NJ",93264.0,65999.0,48.86,45.03,27.05,22.49,13.6,51.86,31.0,48.3,19.48
89,Franklin Lakes,40.99,-74.21,816 High Mountain Rd.,,Urban Farms Shopping Center,Franklin Lakes,NJ,155458.0,10953.0,40.9952229,-74.2132768,"816 High Mountain Rd., Franklin Lakes, NJ",155458.0,10953.0,49.69,85.34,1.78,8.49,7.62,46.32,,48.9,23.14
90,Stop & Shop-Franklin #802,40.43,-74.56,3333 Rt. 27,,,Franklin Park,NJ,,,40.4294488,-74.5589589,"3333 Rt. 27, Franklin Park, NJ",,,,,,,,,,,
91,Freehold,40.21,-74.26,621 U.S Highway 9,,,Freehold,NJ,99827.0,35429.0,40.2102494,-74.2576694,"621 U.S Highway 9, Freehold, NJ",99827.0,35429.0,49.93,83.24,5.57,7.33,8.9,49.59,,42.6,22.14
92,Freehold,40.21,-74.26,621 U.S Highway 9,,,Freehold,NJ,99827.0,35429.0,40.2102494,-74.2576694,"621 U.S Highway 9, Freehold, NJ",57717.0,11938.0,51.47,68.13,12.97,1.95,49.36,50.82,,37.4,25.19
93,Freehold (B&N),40.26,-74.29,3981 US Highway 9,,,Freehold,NJ,99827.0,35429.0,40.2579141,-74.2902788,"3981 US Highway 9, Freehold, NJ",99827.0,35429.0,49.93,83.24,5.57,7.33,8.9,49.59,,42.6,22.14
94,Freehold (B&N),40.26,-74.29,3981 US Highway 9,,,Freehold,NJ,99827.0,35429.0,40.2579141,-74.2902788,"3981 US Highway 9, Freehold, NJ",57717.0,11938.0,51.47,68.13,12.97,1.95,49.36,50.82,,37.4,25.19
95,Freehold Raceway Mall,40.25,-74.3,3710 Route 9,,Freehold Raceway Mall,Freehold,NJ,99827.0,35429.0,40.2546296,-74.298621,"3710 Route 9, Freehold, NJ",99827.0,35429.0,49.93,83.24,5.57,7.33,8.9,49.59,,42.6,22.14
96,Freehold Raceway Mall,40.25,-74.3,3710 Route 9,,Freehold Raceway Mall,Freehold,NJ,99827.0,35429.0,40.2546296,-74.298621,"3710 Route 9, Freehold, NJ",57717.0,11938.0,51.47,68.13,12.97,1.95,49.36,50.82,,37.4,25.19
97,Route 537 Freehold,40.24,-74.31,11 Village Center Drive,,,Freehold,NJ,99827.0,35429.0,40.240545,-74.3053817,"11 Village Center Drive, Freehold, NJ",99827.0,35429.0,49.93,83.24,5.57,7.33,8.9,49.59,,42.6,22.14
98,Route 537 Freehold,40.24,-74.31,11 Village Center Drive,,,Freehold,NJ,99827.0,35429.0,40.240545,-74.3053817,"11 Village Center Drive, Freehold, NJ",57717.0,11938.0,51.47,68.13,12.97,1.95,49.36,50.82,,37.4,25.19
99,Galloway Township,39.48,-74.54,68 W. Jimmie Leeds Rd,B1,,Galloway,NJ,65000.0,37029.0,39.4756408,-74.541319,"68 W. Jimmie Leeds Rd, Galloway, NJ",65000.0,37029.0,47.4,69.51,11.6,11.46,11.48,49.32,,40.6,19.28
100,Gillette,40.67,-74.48,977 Valley Road,,Valley Mall Shopping Center,Gillette,NJ,,,40.6683478,-74.4795832,"977 Valley Road, Gillette, NJ",,,,,,,,,,,
101,Glen Ridge,40.8,-74.2,710 Bloomfield Ave.,,,Glen Ridge,NJ,196821.0,7668.0,40.7973732,-74.201332,"710 Bloomfield Ave., Glen Ridge, NJ",196821.0,7668.0,47.95,82.26,7.37,5.75,11.2,48.54,,43.1,32.42
102,Glen Rock,40.96,-74.13,224 Rock Road,,,Glen Rock,NJ,162443.0,11962.0,40.962215,-74.1309007,"224 Rock Road, Glen Rock, NJ",162443.0,11962.0,49.82,84.66,0.85,11.03,7.05,47.91,,42.3,28.52
103,"Green Brook, NJ",40.59,-74.5,287 Route 22,,,Green Brook,NJ,136094.0,7210.0,40.5909504,-74.4986505,"287 Route 22, Green Brook, NJ",136094.0,7210.0,48.02,69.02,5.85,24.62,11.79,56.52,,48.0,21.83
104,Hackensack,40.88,-74.06,360 Essex Street,,Sanzari Medical Arts Building,Hackensack,NJ,59277.0,44673.0,40.8841329,-74.058607,"360 Essex Street, Hackensack, NJ",59277.0,44673.0,48.87,45.83,25.25,10.46,38.15,53.29,30.0,43.4,18.41
105,Target Hackensack T-1330,40.9,-74.04,630 Main St,,,Hackensack,NJ,59277.0,44673.0,40.8991912,-74.03900879999999,"630 Main St, Hackensack, NJ",59277.0,44673.0,48.87,45.83,25.25,10.46,38.15,53.29,30.0,43.4,18.41
106,"Hackettstown, NJ",40.82,-74.84,1885 Route 57,,,Hackettstown,NJ,63940.0,9569.0,40.8186943,-74.8399263,"1885 Route 57, Hackettstown, NJ",63940.0,9569.0,49.49,84.66,3.23,3.62,20.82,51.49,,38.5,21.47
107,Target Washington Township T-2446,40.85,-74.81,68 US Highway 46 W,,,Hackettstown,NJ,63940.0,9569.0,40.8463517,-74.80903909999999,"68 US Highway 46 W, Hackettstown, NJ",63940.0,9569.0,49.49,84.66,3.23,3.62,20.82,51.49,,38.5,21.47
108,Haddonfield,39.9,-75.03,214-216 Kings Highway,,,Haddonfield,NJ,138920.0,11428.0,39.89784,-75.0316107,"214-216 Kings Highway, Haddonfield, NJ",138920.0,11428.0,49.74,94.25,1.1,2.07,3.81,47.79,26.0,43.6,28.08
109,Hamilton Trenton,40.21,-74.69,1150 Whitehorse-Mercerville Road,,,Hamilton,NJ,73415.0,89206.0,40.2079061,-74.69481619999999,"1150 Whitehorse-Mercerville Road, Hamilton, NJ",73415.0,89206.0,47.35,76.41,13.88,4.79,14.89,52.41,24.0,45.4,19.43
110,Hamilton Trenton,40.21,-74.69,1150 Whitehorse-Mercerville Road,,,Hamilton,NJ,73415.0,89206.0,40.2079061,-74.69481619999999,"1150 Whitehorse-Mercerville Road, Hamilton, NJ",65084.0,26663.0,50.95,62.84,19.46,6.8,15.46,50.47,,42.8,21.49
111,Farley Travel Plaza,39.55,-74.74,Atlantic City Expressway Mile Marker 20,,,Hammonton,NJ,68655.0,14557.0,39.5507024,-74.73589450000001,"Atlantic City Expressway Mile Marker 20, Hammonton, NJ",68655.0,14557.0,48.67,82.83,2.89,1.39,20.64,48.28,,44.6,22.52
112,Hasbrouck Heights,40.86,-74.07,201-211 Route 17 South,,,Hasbrouck Heights,NJ,87800.0,12205.0,40.8567122,-74.07033969999999,"201-211 Route 17 South, Hasbrouck Heights, NJ",87800.0,12205.0,47.67,79.69,2.94,12.89,14.6,52.08,27.0,43.6,20.14
113,Hillsborough,40.5,-74.65,601 Route 206 & 514,Suite #21,Nelsons Corner Shopping Center,Hillsborough,NJ,119542.0,39712.0,40.4999463,-74.6450248,"601 Route 206 & 514, Hillsborough, NJ",119542.0,39712.0,47.8,73.86,5.47,16.87,7.75,54.66,30.0,44.0,23.57
114,Hillsdale,41.0,-74.04,126 Broadway,,,Hillsdale,NJ,124844.0,10520.0,41.0036496,-74.0405414,"126 Broadway, Hillsdale, NJ",124844.0,10520.0,48.96,86.7,1.63,8.43,8.9,50.65,31.0,45.6,25.04
115,Hoboken - 12th & Hudson,40.75,-74.03,1205 N. Hudson Street,,The Shipyards at 12th & Hudson,Hoboken,NJ,127523.0,54117.0,40.7512091,-74.0253726,"1205 N. Hudson Street, Hoboken, NJ",127523.0,54117.0,50.34,82.91,2.72,9.29,16.22,66.4,37.0,31.8,13.55
116,"Hoboken, Washington St.",40.74,-74.03,314  Washington Ave.,,,Hoboken,NJ,127523.0,54117.0,40.7406386,-74.0303582,"314  Washington Ave., Hoboken, NJ",127523.0,54117.0,50.34,82.91,2.72,9.29,16.22,66.4,37.0,31.8,13.55
117,Newark St. Hoboken,40.74,-74.03,51 Newark Street,,,Hoboken,NJ,127523.0,54117.0,40.73671179999999,-74.0303022,"51 Newark Street, Hoboken, NJ",127523.0,54117.0,50.34,82.91,2.72,9.29,16.22,66.4,37.0,31.8,13.55
118,Howell - Route 9,40.14,-74.22,4701 Rte. 9 No.,Space T1B10,,Howell,NJ,100305.0,52076.0,40.1363575,-74.2238249,"4701 Rte. 9 No., Howell, NJ",100305.0,52076.0,48.96,87.01,3.87,5.2,9.61,52.11,,41.4,23.52
119,Rt. 1 North Woodbridge,40.56,-74.3,774 Route 1 N,,,Iselin,NJ,,,40.5634204,-74.2983919,"774 Route 1 N, Iselin, NJ",,,,,,,,,,,
120,Grove Point,40.72,-74.04,98 Christopher Columbus Drive,,,Jersey City,NJ,62739.0,265932.0,40.7194207,-74.04169019999999,"98 Christopher Columbus Drive, Jersey City, NJ",62739.0,265932.0,49.21,35.41,23.99,25.39,28.82,51.07,35.0,36.8,20.87
121,Jersey City,40.73,-74.03,111 Town Square Place,,,Jersey City,NJ,62739.0,265932.0,40.726242,-74.0331798,"111 Town Square Place, Jersey City, NJ",62739.0,265932.0,49.21,35.41,23.99,25.39,28.82,51.07,35.0,36.8,20.87
122,"Jersey City, Exchange Place",40.72,-74.03,15 Exchange Place,Suite 110,,Jersey City,NJ,62739.0,265932.0,40.7160375,-74.03358089999999,"15 Exchange Place, Jersey City, NJ",62739.0,265932.0,49.21,35.41,23.99,25.39,28.82,51.07,35.0,36.8,20.87
123,Newport Mall,40.73,-74.04,30 Mall Drive West,A-36,Newport Centre,Jersey City,NJ,62739.0,265932.0,40.7273145,-74.0378613,"30 Mall Drive West, Jersey City, NJ",62739.0,265932.0,49.21,35.41,23.99,25.39,28.82,51.07,35.0,36.8,20.87
124,Target Jersey City T-1886,40.73,-74.04,100 14th St,,,Jersey City,NJ,62739.0,265932.0,40.7326867,-74.0362548,"100 14th St, Jersey City, NJ",62739.0,265932.0,49.21,35.41,23.99,25.39,28.82,51.07,35.0,36.8,20.87
125,Acme - Kenilworth #1096,40.68,-74.28,801 Kenilworth Blvd,,,Kenilworth,NJ,108281.0,8235.0,40.6780468,-74.281517,"801 Kenilworth Blvd, Kenilworth, NJ",108281.0,8235.0,53.01,78.12,1.79,6.72,27.33,52.4,,46.6,21.55
126,"Lakewood, NJ",40.06,-74.16,1865 Route 70,,Lakewood Hilton Gardens Project,Lakewood,NJ,45321.0,99467.0,40.0558083,-74.16484679999999,"1865 Route 70, Lakewood, NJ",45321.0,99467.0,49.64,91.16,3.28,1.01,16.0,29.08,,19.3,46.97
127,Lawrenceville,40.3,-74.73,2673 Main St,,,Lawrenceville,NJ,,,40.2979905,-74.72972899999999,"2673 Main St, Lawrenceville, NJ",,,,,,,,,,,
128,Mercer Mall,40.3,-74.68,301 Mercer Mall,,,Lawrenceville,NJ,,,40.297751,-74.68184699999999,"301 Mercer Mall, Lawrenceville, NJ",,,,,,,,,,,
129,Quaker Bridge,40.29,-74.68,150 Quaker Bridge Mall RD,2026,Quaker Bridge Mall,Lawrenceville,NJ,,,40.2910878,-74.68151910000002,"150 Quaker Bridge Mall RD, Lawrenceville, NJ",,,,,,,,,,,
130,Rider University/Student Rec Center,40.28,-74.73,2083 Lawrenceville Rd,,,Lawrenceville,NJ,,,40.2809082,-74.7412303,"2083 Lawrenceville Rd, Lawrenceville, NJ",,,,,,,,,,,
131,Acme - Lincroft #7932,40.33,-74.12,619 Newman Springs Road,,,Lincroft,NJ,,,40.3321202,-74.1191327,"619 Newman Springs Road, Lincroft, NJ",,,,,,,,,,,
132,Linden,40.62,-74.25,693 West Edgar Road,,Aviation Plaza at Linden,Linden,NJ,66538.0,42230.0,40.6195397,-74.2487627,"693 West Edgar Road, Linden, NJ",66538.0,42230.0,48.62,53.65,29.95,3.93,30.22,50.77,28.0,41.8,20.27
133,"Rte 46 W, Little Ferry",40.86,-74.04,300 Route 46 West,,,Little Ferry,NJ,61341.0,10942.0,40.8445424,-74.0106272,"300 Route 46 West, Little Ferry, NJ",61341.0,10942.0,49.77,63.16,2.74,26.21,27.34,54.13,,43.5,15.44
134,Livingston,40.8,-74.32,1 West Mt. Pleasant Avenue,,,Livingston,NJ,153381.0,29955.0,40.7955908,-74.3156253,"1 West Mt. Pleasant Avenue, Livingston, NJ",153381.0,29955.0,49.45,72.36,1.65,22.44,4.02,47.39,31.0,47.7,25.14
135,Madison,40.75,-74.4,309 Main Street,,,Madison,NJ,127948.0,16080.0,40.7490001,-74.39968309999999,"309 Main Street, Madison, NJ",127948.0,16080.0,46.97,84.98,4.12,6.73,9.64,48.33,,41.8,24.57
136,Acme - Mahwah #1058,41.1,-74.15,125 Franklin Tpke,,,Mahwah,NJ,107215.0,26581.0,41.0992549,-74.14473219999999,"125 Franklin Tpke, Mahwah, NJ",107215.0,26581.0,46.47,80.09,3.28,13.19,8.75,50.8,27.0,45.0,18.68
137,Target Stafford Township T-2392,39.71,-74.29,209 Stafford Park Blvd,,,Manahawkin,NJ,,,39.7103823,-74.283928,"209 Stafford Park Blvd, Manahawkin, NJ",,,,,,,,,,,
138,Route 9 Manalapan,40.31,-74.3,310 Route 9 North,,,Manalapan,NJ,109326.0,40096.0,40.3084972,-74.3035941,"310 Route 9 North, Manalapan, NJ",109326.0,40096.0,47.63,88.31,1.21,8.11,5.9,47.57,39.0,44.8,23.65
139,Margate NJ,39.33,-74.5,8005 Ventnor Ave,,,Margate City,NJ,69896.0,6200.0,39.3300756,-74.4994861,"8005 Ventnor Ave, Margate City, NJ",69896.0,6200.0,45.73,94.16,2.18,1.45,1.73,48.65,25.0,61.3,9.05
140,Matawan,40.41,-74.23,265 Main Street,,Main Street Village,Matawan,NJ,86149.0,8898.0,40.4092031,-74.23421069999999,"265 Main Street, Matawan, NJ",86149.0,8898.0,50.12,82.03,8.15,7.53,10.29,53.57,34.0,40.3,21.74
141,Mays Landing Wrangleboro,39.45,-74.64,760 Consumer Square,,Wrangleboro Consumer Center,Mays Landing,NJ,,,39.450245,-74.63687700000001,"760 Consumer Square, Mays Landing, NJ",,,,,,,,,,,
142,Medford,39.87,-74.81,560 Stokes Road,,Ironstone Village Shoppes,Medford,NJ,113469.0,23353.0,39.873393,-74.8132892,"560 Stokes Road, Medford, NJ",113469.0,23353.0,49.07,91.84,2.15,2.45,3.41,49.96,,46.5,23.21
143,Rte 35-Middletown,40.41,-74.13,2011 Route 35,,,Middletown,NJ,105035.0,65952.0,40.4106977,-74.13321739999999,"2011 Route 35, Middletown, NJ",105035.0,65952.0,49.16,93.17,1.08,3.34,5.77,50.21,33.0,44.0,22.73
144,Midland Park Shopping Center,40.98,-74.14,85 Godwin Ave,,Midland Park Shopping Center,Midland Park,NJ,105313.0,7336.0,40.9844468,-74.13927149999999,"85 Godwin Ave, Midland Park, NJ",105313.0,7336.0,49.1,95.24,0.82,0.89,13.3,53.49,,43.2,23.81
145,Millburn,40.72,-74.31,343 Millburn Avenue,,,Millburn,NJ,202862.0,20387.0,40.7239844,-74.3074515,"343 Millburn Avenue, Millburn, NJ",202862.0,20387.0,49.7,71.59,3.1,20.93,4.43,44.87,37.0,44.1,32.55
146,Joyce Kilmer Travel Plaza,40.42,-74.44,"Milepost 78.7 NB, NJ Turnpike",,,Milltown,NJ,99704.0,7069.0,40.416756,-74.443966,"Milepost 78.7 NB, NJ Turnpike, Milltown, NJ",99704.0,7069.0,48.18,88.6,5.26,3.92,12.93,49.44,,43.5,23.03
147,Target Millville T-2170,39.42,-75.04,2116 N 2nd St,,,Millville,NJ,49950.0,28235.0,39.421381,-75.04479769999999,"2116 N 2nd St, Millville, NJ",49950.0,28235.0,48.87,74.18,19.02,1.61,17.22,42.67,,43.2,24.97
148,Montclair - Church & South Park,40.81,-74.22,40 South Park St,,The Siena,Montclair,NJ,113293.0,38572.0,40.8142721,-74.2201674,"40 South Park St, Montclair, NJ",113293.0,38572.0,46.78,65.08,24.7,3.3,9.85,51.48,35.0,40.4,25.59
149,Upper Montclair,40.84,-74.21,572 Valley Road,,,Montclair,NJ,113293.0,38572.0,40.8396949,-74.2080048,"572 Valley Road, Montclair, NJ",113293.0,38572.0,46.78,65.08,24.7,3.3,9.85,51.48,35.0,40.4,25.59
150,NJ Montvale Travel Plaza.,41.05,-74.05,Montvale Service Area mile 173 Garden St,,,Montvale,NJ,120060.0,8440.0,41.04755189999999,-74.06679869999999,"Montvale Service Area mile 173 Garden St, Montvale, NJ",120060.0,8440.0,47.82,76.62,3.08,15.34,11.81,46.45,,46.3,23.85
151,Moorestown Mall Kiosk,39.94,-74.96,400 New Jersey 38,,,Moorestown,NJ,133902.0,20568.0,39.9445509,-74.9631586,"400 New Jersey 38, Moorestown, NJ",133902.0,20568.0,47.36,83.52,6.31,7.22,2.12,49.16,26.0,45.3,24.57
152,Moorestown-Wright's Hardware,39.96,-74.95,41 East Main Street,,,Moorestown,NJ,133902.0,20568.0,39.9647864,-74.9451484,"41 East Main Street, Moorestown, NJ",133902.0,20568.0,47.36,83.52,6.31,7.22,2.12,49.16,26.0,45.3,24.57
153,"Rte 9, Marlboro",40.35,-74.31,67 Route 9 South,,,Morganville,NJ,,,40.3539378,-74.30787959999999,"67 Route 9 South, Morganville, NJ",,,,,,,,,,,
154,Stop & Shop-Morris Plains # 893,40.84,-74.46,245 Littleton Road,,,Morris Plains,NJ,125229.0,5605.0,40.8421439,-74.4633703,"245 Littleton Road, Morris Plains, NJ",125229.0,5605.0,51.19,91.88,2.16,4.71,9.1,54.75,,43.6,21.12
155,Morristown Medical Ctr - Main Locat,40.79,-74.46,100 Madison Ave,,,Morristown,NJ,92296.0,18833.0,40.7896261,-74.4655683,"100 Madison Ave, Morristown, NJ",92296.0,18833.0,50.8,73.14,9.09,6.09,32.7,64.46,,36.0,16.78
156,"Morristown, Park Place",40.8,-74.48,40 Park Place,,,Morristown,NJ,92296.0,18833.0,40.7961996,-74.4816409,"40 Park Place, Morristown, NJ",92296.0,18833.0,50.8,73.14,9.09,6.09,32.7,64.46,,36.0,16.78
157,Mount Laurel Centerton Square,39.97,-74.91,10 Centerton Road,Suite D,Centerton Square Shopping Center,Mount Laurel,NJ,92826.0,41795.0,39.969931,-74.9140305,"10 Centerton Road, Mount Laurel, NJ",92826.0,41795.0,47.3,77.84,8.81,8.97,4.44,52.55,28.0,46.0,21.0
158,NJ James Cooper Travel Plaza,39.98,-74.89,5 Hartford Rd,,,Mount Laurel,NJ,92826.0,41795.0,39.9775095,-74.8954146,"5 Hartford Rd, Mount Laurel, NJ",92826.0,41795.0,47.3,77.84,8.81,8.97,4.44,52.55,28.0,46.0,21.0
159,Route 73 & Fellowship Road,39.93,-74.96,550 Fellowship Road,,,Mount Laurel,NJ,92826.0,41795.0,39.9323807,-74.9592126,"550 Fellowship Road, Mount Laurel, NJ",92826.0,41795.0,47.3,77.84,8.81,8.97,4.44,52.55,28.0,46.0,21.0
160,Target Mount Laurel T-1917,39.97,-74.91,4 Centerton Rd,,,Mount Laurel,NJ,92826.0,41795.0,39.9676245,-74.9147038,"4 Centerton Rd, Mount Laurel, NJ",92826.0,41795.0,47.3,77.84,8.81,8.97,4.44,52.55,28.0,46.0,21.0
161,Rt. 66 & S. Seaview Square Drive,40.23,-74.05,2301 Rt 66,,,Neptune,NJ,67836.0,27728.0,40.2285295,-74.0445289,"2301 Rt 66, Neptune, NJ",67836.0,27728.0,48.92,54.36,35.22,2.92,8.59,50.83,,51.0,17.87
162,New Brunswick,40.5,-74.44,391 George Street,,Kilmer Square,New Brunswick,NJ,38413.0,56792.0,40.4962516,-74.4439921,"391 George Street, New Brunswick, NJ",38413.0,56792.0,48.89,66.19,13.96,9.74,52.99,38.66,25.0,23.4,23.59
163,Rutgers University-The Yard,40.5,-74.45,38 Colllege Ave.,,,New Brunswick,NJ,38413.0,56792.0,40.4992123,-74.4483723,"38 Colllege Ave., New Brunswick, NJ",38413.0,56792.0,48.89,66.19,13.96,9.74,52.99,38.66,25.0,23.4,23.59
164,New Providence Village Center,40.71,-74.4,1260 Springfield Avenue,,,New Providence,NJ,129638.0,12716.0,40.70528119999999,-74.4045855,"1260 Springfield Avenue, New Providence, NJ",129638.0,12716.0,48.76,82.42,0.94,12.86,7.77,47.42,,41.8,27.37
165,"EWR - Newark Concourse C, Space 86",40.69,-74.17,"Terminal C, Space 86",,,Newark,NJ,34826.0,282803.0,40.693811,-74.172319,"Terminal C, Space 86, Newark, NJ",34826.0,282803.0,49.41,25.29,50.12,1.75,36.38,41.06,34.0,36.0,24.79
166,"EWR - Newark Term C, Space B-50",40.69,-74.17,"Terminal C, Space B-50",,,Newark,NJ,34826.0,282803.0,40.6956658,-74.1773002,"Terminal C, Space B-50, Newark, NJ",34826.0,282803.0,49.41,25.29,50.12,1.75,36.38,41.06,34.0,36.0,24.79
167,Rutgers U/Newark Robeson Stdnt Ctr,40.74,-74.18,350 Martin Luther King Blvd,,,Newark,NJ,34826.0,282803.0,40.7420724,-74.1761532,"350 Martin Luther King Blvd, Newark, NJ",34826.0,282803.0,49.41,25.29,50.12,1.75,36.38,41.06,34.0,36.0,24.79
168,Shoppes on Broad,40.74,-74.17,Broad Street,,,Newark,NJ,34826.0,282803.0,40.738291,-74.1706767,"Broad Street, Newark, NJ",34826.0,282803.0,49.41,25.29,50.12,1.75,36.38,41.06,34.0,36.0,24.79
169,"North Bergen, River Rd.",40.79,-74.0,7301 River Rd.,,,North Bergen,NJ,57269.0,63438.0,40.7926952,-73.998498,"7301 River Rd., North Bergen, NJ",57269.0,63438.0,49.71,69.53,3.32,6.91,73.12,51.73,32.0,40.0,21.26
170,Target North Bergen Commons T-1865,40.8,-74.02,7101 Tonnelle Ave,,,North Bergen,NJ,57269.0,63438.0,40.801539,-74.022117,"7101 Tonnelle Ave, North Bergen, NJ",57269.0,63438.0,49.71,69.53,3.32,6.91,73.12,51.73,32.0,40.0,21.26
171,"North Brunswick, NJ",40.46,-74.46,522 Shoppes Boulevard,,Shoppes at North Brunswick,North Brunswick,NJ,88723.0,42591.0,40.4614818,-74.45726119999999,"522 Shoppes Boulevard, North Brunswick, NJ",88723.0,42591.0,48.45,50.62,18.78,24.96,19.47,50.31,32.0,37.7,21.92
172,Target North Brunswick T-2853,40.44,-74.5,101 Grand Ave,,,North Brunswick,NJ,88723.0,42591.0,40.43536539999999,-74.5043963,"101 Grand Ave, North Brunswick, NJ",88723.0,42591.0,48.45,50.62,18.78,24.96,19.47,50.31,32.0,37.7,21.92
173,"Northvale, NJ",41.02,-73.95,271B Livingston St.,,Daibes Square at Northvale,Northvale,NJ,92650.0,4872.0,41.015424,-73.946192,"271B Livingston St., Northvale, NJ",92650.0,4872.0,50.47,68.72,2.16,26.09,9.85,52.26,,46.0,22.72
174,Nutley,40.82,-74.16,483 Franklin Avenue,,,Nutley,NJ,93691.0,28829.0,40.8231942,-74.1561315,"483 Franklin Avenue, Nutley, NJ",93691.0,28829.0,47.28,79.8,2.98,11.55,15.74,53.2,30.0,42.9,20.59
175,Route 35 - Oakhurst,40.26,-74.04,2100 Highway 35,,,Oakhurst,NJ,,,40.2648139,-74.0425431,"2100 Highway 35, Oakhurst, NJ",,,,,,,,,,,
176,Oakland,41.03,-74.24,411 Rampo Valley Rd,,,Oakland,NJ,112944.0,13145.0,41.0269674,-74.239965,"411 Rampo Valley Rd, Oakland, NJ",112944.0,13145.0,49.17,91.0,2.25,5.58,6.97,54.21,26.0,42.9,24.75
177,"Ocean City, NJ - Asbury Ave.",39.28,-74.58,1061 Asbury Ave,,,Ocean City,NJ,72715.0,11328.0,39.2766161,-74.578846,"1061 Asbury Ave, Ocean City, NJ",72715.0,11328.0,46.23,90.8,2.61,1.83,8.14,43.79,,56.0,19.14
