,index,Name,Street1,Street2,Street3,City,CountrySubdivisionCode,Income,Population,Male Pop (%),White (%),Black (%),Asian (%),Hispanic (%),Employed (%),Travel Time to Work (mins),Median Age,Age <18 (%),Latitude,Longitude,target search add,Cafe within 1 mile,Is Dunkin within 1 mile radius
0,0,Galloway,405 S. Pitney Road,,Galloway Village Square Shopping Center,Absecon,NJ,63887.0,8370.0,47.93,79.86,8.69,6.38,7.42,46.31,,51.2,19.39,39.4621663,-74.49471609999999,"405 S. Pitney Road,Absecon,NJ",Wawa,Dunkin Donuts
1,1,Acme - Allendale #1095,45 Demercurio Dr,,,Allendale,NJ,151875.0,6820.0,47.9,85.12,1.09,11.74,1.8,45.72,,47.8,28.04,41.0289552,-74.1281256,"45 Demercurio Dr,Allendale,NJ",Starbucks,Dunkin' Donuts
2,2,Target Ocean T-1378,2331 State Route 66,,,Asbury Park,NJ,39324.0,15830.0,49.2,37.25,46.78,0.66,30.16,47.87,24.0,40.6,23.83,40.2313358,-74.0450675,"2331 State Route 66,Asbury Park,NJ",Dunkin' Donuts,Dunkin' Donuts
3,3,"Atlantic City, The Walk",120 North Michigan Avenue,,,Atlantic City,NJ,26006.0,39075.0,49.58,31.97,36.24,18.23,29.27,39.01,,41.7,25.21,39.360767,-74.43701779999999,"120 North Michigan Avenue,Atlantic City,NJ",Mrs. Fields Quarter at Tropicana,Dunkin' Donuts
4,4,Golden Nugget-Atlantic City,1 Castle Blvd,,,Atlantic City,NJ,26006.0,39075.0,49.58,31.97,36.24,18.23,29.27,39.01,,41.7,25.21,39.3784847,-74.4291306,"1 Castle Blvd,Atlantic City,NJ",Gilchrist Restaurant,
5,5,Tropicana Marketplace,2831 Boardwalk,,,Atlantic City,NJ,26006.0,39075.0,49.58,31.97,36.24,18.23,29.27,39.01,,41.7,25.21,39.3523692,-74.4445618,"2831 Boardwalk,Atlantic City,NJ",Mrs. Fields Quarter at Tropicana,Dunkin' Donuts
6,6,Trump Taj Mahal-Atlantic City-Main,1000 Boardwalk at Virginia Ave,,,Atlantic City,NJ,26006.0,39075.0,49.58,31.97,36.24,18.23,29.27,39.01,,41.7,25.21,39.3599884,-74.42123529999999,"1000 Boardwalk at Virginia Ave,Atlantic City,NJ",Cavo Crepe Cafe,Dunkin' Donuts
7,7,Acme - Barnegat #7921,912 W Bay Ave,,,Barnegat,NJ,69877.0,22141.0,46.81,88.18,7.15,0.5,8.68,41.62,,48.9,21.07,39.7595923,-74.24645269999999,"912 W Bay Ave,Barnegat,NJ",Starbucks,
8,8,Bernards-Riverwalk,655 Martinsville Road,,,Bernards,NJ,137855.0,27032.0,48.23,75.48,2.34,19.19,5.42,46.81,,45.9,27.19,40.6523937,-74.57657019999999,"655 Martinsville Road,Bernards,NJ",Panera Bread,
9,9,Stop & Shop - Bayonne #853,1 Lefante Way,,,Bayonne,NJ,56701.0,66719.0,49.61,65.7,11.11,8.97,29.6,46.7,34.0,43.2,22.26,40.667771,-74.1041829,"1 Lefante Way,Bayonne,NJ",McDonald's,Dunkin' Donuts
10,10,Village at Bedminster,432 US Highway 202/206,,Village at Bedminster,Bedminster,NJ,104452.0,8244.0,46.24,88.88,1.36,7.04,7.08,62.6,,46.3,13.42,40.650104,-74.641595,"432 US Highway 202/206,Bedminster,NJ",Cafe Carriage House,Dunkin' Donuts
11,11,NJ Monmouth Travel Plaza,"Garden State Pkwy, Mile Marker 100",,,Belmar,NJ,74942.0,5719.0,55.01,93.09,2.41,0.75,14.62,56.65,,47.7,13.34,40.1982323,-74.0990925,"Garden State Pkwy, Mile Marker 100,Belmar,NJ",Dunkin' Donuts,Dunkin' Donuts
12,12,Paramus Park Mall Center Court,700 Paramus Park,,,Paramus,NJ,105114.0,26919.0,49.34,65.63,3.17,28.29,9.45,45.76,29.0,50.5,19.46,40.9566715,-74.0688646,"700 Paramus Park,Paramus,NJ",Auntie Anne's,Dunkin' Donuts
13,13,Bernardsville Center,80 Morristown Rd.,Unit 10,,Bernardsville,NJ,150635.0,7792.0,56.17,87.54,0.03,4.36,13.51,52.84,,44.5,25.13,40.7204005,-74.5636559,"80 Morristown Rd.,Bernardsville,NJ",Bernards Cafe,Dunkin' Donuts
14,14,Gloucester Premium Outlets,1125 S Black Horse Pike,Space 575,,Gloucester,NJ,73701.0,64034.0,48.75,73.69,15.5,4.1,6.86,53.75,28.0,42.4,20.97,39.7848715,-75.052824,"1125 S Black Horse Pike,Gloucester,NJ",Starbucks,Dunkin' Donuts
15,15,Acme - Boonton #1582,550 Myrtle Avenue,,,Boonton,NJ,91055.0,8390.0,51.47,81.14,3.02,8.47,14.33,60.38,26.0,39.3,20.62,40.9086562,-74.39695739999999,"550 Myrtle Avenue,Boonton,NJ",Dunkin' Donuts,Dunkin' Donuts
16,17,Bordentown,282 Dunns Mill Road,,ACME Commons at Bordentown,Bordentown,NJ,85640.0,11808.0,47.7,75.52,8.55,10.39,7.1,51.19,,44.1,22.4,40.1326574,-74.7240365,"282 Dunns Mill Road,Bordentown,NJ",Starbucks,Dunkin' Donuts
17,19,Branchburg,240 Raritan Valley College Drive,,Shoppes at Branchburg,Branchburg,NJ,129237.0,14683.0,47.97,85.96,4.79,8.29,3.3,55.24,,44.5,22.78,40.6053501,-74.6891225,"240 Raritan Valley College Drive,Branchburg,NJ",Starbucks,Dunkin' Donuts
18,20,Whitehouse Station,531 Route 22 East #8,,,Branchburg,NJ,129237.0,14683.0,47.97,85.96,4.79,8.29,3.3,55.24,,44.5,22.78,,,"531 Route 22 East #8,Branchburg,NJ",,
19,21,Target Brick T-1153,570 Rte. 70 West,,,Brick,NJ,73051.0,75118.0,48.86,91.42,2.24,1.89,9.76,49.61,30.0,46.4,19.49,40.0578643,-74.1519311,"570 Rte. 70 West,Brick,NJ",Barnes & Noble,Dunkin' Donuts
20,22,Bridgewater Mall-Level 1 Side,400 Commons Way,2475,Bridgewater Commons,Bridgewater,NJ,122684.0,45336.0,48.48,70.75,2.9,22.64,9.24,50.82,29.0,45.7,23.12,40.5863872,-74.6199134,"400 Commons Way,Bridgewater,NJ",Auntie Anne's,Dunkin' Donuts
21,23,Target Bridgewater T-1224,200 Promenade Blvd,,,Bridgewater,NJ,122684.0,45336.0,48.48,70.75,2.9,22.64,9.24,50.82,29.0,45.7,23.12,40.5628086,-74.55273609999999,"200 Promenade Blvd,Bridgewater,NJ",Dunkin' Donuts,Dunkin' Donuts
22,24,The Village at Bridgewater Commons,610 Commons Way 4300,,The Village at Bridgewater Commons,Bridgewater,NJ,122684.0,45336.0,48.48,70.75,2.9,22.64,9.24,50.82,29.0,45.7,23.12,40.582956,-74.614864,"610 Commons Way 4300,Bridgewater,NJ",Auntie Anne's,Dunkin' Donuts
23,25,Target Burlington T-1158,2703 Route 541,,,Burlington,NJ,50709.0,9835.0,46.98,54.03,31.05,3.25,10.78,49.89,,43.4,21.21,40.0351084,-74.82228839999999,"2703 Route 541,Burlington,NJ",Starbucks,Dunkin' Donuts
24,27,Rutgers U/Camden-Student Union,326 Penn St,,,Camden,NJ,26105.0,75550.0,47.92,21.22,45.4,3.18,48.48,34.89,23.0,32.0,31.42,39.948664,-75.12263,"326 Penn St,Camden,NJ",Starbucks,Dunkin' Donuts
25,28,Cedar Knolls Hanover,178 Hanover Avenue,101,,Hanover,NJ,116020.0,14436.0,49.69,83.53,1.3,13.78,8.7,52.23,24.0,45.6,21.48,40.8134266,-74.4696416,"178 Hanover Avenue,Hanover,NJ",McDonald's,Dunkin' Donuts
26,29,Chatham,640 Shunpike Rd.,,,Chatham,NJ,176364.0,10507.0,48.58,85.75,1.97,10.29,3.13,46.08,35.0,44.1,28.48,40.7465197,-74.4307395,"640 Shunpike Rd.,Chatham,NJ",Starbucks,Dunkin' Donuts
27,31,480 Evesham Road,480 Evesham Road,,Short Hills Towne Centre,Cherry Hill,NJ,97069.0,71204.0,48.9,73.88,6.65,13.46,7.03,51.85,26.0,45.6,22.08,39.8633422,-74.9647059,"480 Evesham Road,Cherry Hill,NJ",Cafe Flora,
28,32,600 Route 38 Cherry Hill,600 Rt 38,,,Cherry Hill,NJ,97069.0,71204.0,48.9,73.88,6.65,13.46,7.03,51.85,26.0,45.6,22.08,39.9367765,-75.0449379,"600 Rt 38,Cherry Hill,NJ",foodwerx featuring Nicholas Caterers,Dunkin' Donuts
29,33,Chapel & Haddonfield,512 Haddonfield Road,,,Cherry Hill,NJ,97069.0,71204.0,48.9,73.88,6.65,13.46,7.03,51.85,26.0,45.6,22.08,39.9333938,-75.03056219999999,"512 Haddonfield Road,Cherry Hill,NJ",Starbucks,Dunkin' Donuts
30,34,Garden State Park,2026 Route 70 West,Suite A,Garden State Park,Cherry Hill,NJ,97069.0,71204.0,48.9,73.88,6.65,13.46,7.03,51.85,26.0,45.6,22.08,39.9218643,-75.0372786,"2026 Route 70 West,Cherry Hill,NJ",Barnes & Noble,Dunkin' Donuts
31,35,Macy's - Cherry Hill Mall,2000 Route 38,,,Cherry Hill,NJ,97069.0,71204.0,48.9,73.88,6.65,13.46,7.03,51.85,26.0,45.6,22.08,39.94086,-75.02570159999999,"2000 Route 38,Cherry Hill,NJ",Starbucks,Dunkin' Donuts
32,36,NJ Walt Whitman Travel Plaza,NJPK MM 32.3,,,Cherry Hill,NJ,97069.0,71204.0,48.9,73.88,6.65,13.46,7.03,51.85,26.0,45.6,22.08,39.8859353,-75.0026304,"NJPK MM 32.3,Cherry Hill,NJ",Starbucks,Dunkin' Donuts
33,37,"Rt. 70 West, Cherry Hill",1192 East Rt. 70,#12,Kinko's Plaza,Cherry Hill,NJ,97069.0,71204.0,48.9,73.88,6.65,13.46,7.03,51.85,26.0,45.6,22.08,39.8981861,-74.8632315,"1192 East Rt. 70,Cherry Hill,NJ",,
34,38,Target Cherry Hill T-1085,2137 SR-38,,,Cherry Hill,NJ,97069.0,71204.0,48.9,73.88,6.65,13.46,7.03,51.85,26.0,45.6,22.08,39.9360852,-75.02521469999999,"2137 SR-38,Cherry Hill,NJ",Starbucks,Dunkin' Donuts
35,39,Chester Springs Shopping Center,537 Route 206 South,,Chester Springs Shopping Center,Chester,NJ,101375.0,1540.0,48.44,88.83,0.78,2.14,10.19,42.4,,46.6,25.45,40.779126,-74.695587,"537 Route 206 South,Chester,NJ",Starbucks,Dunkin' Donuts
36,41,Target Clark T-1467,45 Central Ave,,,Clark,NJ,100192.0,15607.0,48.15,94.25,1.34,2.76,13.65,54.24,,43.7,20.13,40.6280099,-74.30797129999999,"45 Central Ave,Clark,NJ",Barnes & Noble,Dunkin' Donuts
37,42,1490 Blackwood-Clementon Road,1490 Blackwood-Clementon Rd.,Gloucester Township,Cherrywood Plaza,Clementon,NJ,52634.0,4933.0,45.69,67.77,27.87,0.0,12.79,45.19,,40.4,22.34,39.8028018,-75.041926,"1490 Blackwood-Clementon Rd.,Clementon,NJ",Starbucks,Dunkin' Donuts
38,43,Clifton Route 3,360 Rt 3,,,Clifton,NJ,74963.0,86207.0,47.9,66.39,6.73,9.82,37.01,51.71,27.0,40.7,20.38,40.8299409,-74.13683019999999,"360 Rt 3,Clifton,NJ",Barnes & Noble,Dunkin' Donuts
39,44,Stop & Shop-Clifton #813,160 Kingsland Rd,,,Clifton,NJ,74963.0,86207.0,47.9,66.39,6.73,9.82,37.01,51.71,27.0,40.7,20.38,40.8258397,-74.13995059999999,"160 Kingsland Rd,Clifton,NJ",Barnes & Noble,Dunkin' Donuts
40,45,Closter,234 Closter Dock Road,,Heidenberg Plaza,Closter,NJ,130670.0,8710.0,49.4,59.25,3.86,35.98,7.38,46.7,,47.3,25.07,40.9724323,-73.9611011,"234 Closter Dock Road,Closter,NJ",Starbucks,Dunkin' Donuts
41,46,Target Closter T-3235,6 Vervalan St,,,Closter,NJ,130670.0,8710.0,49.4,59.25,3.86,35.98,7.38,46.7,,47.3,25.07,40.9713681,-73.9573806,"6 Vervalan St,Closter,NJ",Starbucks,Dunkin' Donuts
42,47,Molly Pitcher Adj Snackbar,MM-71.7 S New Jersey Tpke,,,Cranbury,NJ,138906.0,3844.0,52.89,78.67,6.01,12.12,4.92,46.75,,51.5,22.92,40.3215016,-74.488237,"MM-71.7 S New Jersey Tpke,Cranbury,NJ",Starbucks,Dunkin' Donuts
43,48,NJ TP - Molly Pitcher Mobile Truck,New Jersey Turnpike,,,Cranbury,NJ,138906.0,3844.0,52.89,78.67,6.01,12.12,4.92,46.75,,51.5,22.92,40.30815450000001,-74.4924205,"New Jersey Turnpike,Cranbury,NJ",Starbucks,Dunkin' Donuts
44,49,Stop & Shop-Monroe Township #810,1600 Perrineville Road,,,Cranbury,NJ,138906.0,3844.0,52.89,78.67,6.01,12.12,4.92,46.75,,51.5,22.92,40.3161248,-74.43985669999999,"1600 Perrineville Road,Cranbury,NJ",The Hearth at Greenbriar,
45,50,Cranford N Ave E - Drive Thru Only,345 N Ave E,,,Cranford,NJ,122848.0,23972.0,48.87,89.33,2.81,3.11,9.97,52.78,31.0,43.7,22.55,40.6581765,-74.29121839999999,"345 N Ave E,Cranford,NJ",Emma's Brick Oven Pizza & Cafe,Dunkin' Donuts
46,51,Cranford Train Station,200 South Ave.,Suite 101,,Cranford,NJ,122848.0,23972.0,48.87,89.33,2.81,3.11,9.97,52.78,31.0,43.7,22.55,40.6523976,-74.3208041,"200 South Ave.,Cranford,NJ",QuickChek,Dunkin' Donuts
47,52,Delran,1340 Fairview Boulevard,,Hartford Corners,Delran,NJ,94321.0,16747.0,49.31,82.14,9.6,4.98,2.25,53.56,,41.0,22.14,40.018863,-74.94454,"1340 Fairview Boulevard,Delran,NJ",Panera Bread,Dunkin' Donuts
48,53,Denville Plaza,2-28 West Main Street,,Denville Plaza,Denville,NJ,116078.0,16822.0,47.63,87.21,2.16,8.27,6.6,53.18,29.0,45.8,22.67,40.893432,-74.478741,"2-28 West Main Street,Denville,NJ",Starbucks,Dunkin' Donuts
49,54,Route 10 Denville,3056 Route 10 West,,,Denville,NJ,116078.0,16822.0,47.63,87.21,2.16,8.27,6.6,53.18,29.0,45.8,22.67,40.8661795,-74.5063192,"3056 Route 10 West,Denville,NJ",Starbucks,
50,55,Deptford Mall,1750 Deptford Center Road,KI08,,Deptford,NJ,67983.0,30556.0,47.29,74.04,13.75,5.92,7.43,51.52,26.0,44.9,20.13,39.8314319,-75.09782489999999,"1750 Deptford Center Road,Deptford,NJ",Barnes & Noble,Dunkin' Donuts
51,56,"Route 18 & Tices, East Brunswick",300 Route 18 North,,,East Brunswick,NJ,105959.0,48673.0,46.91,66.3,4.56,25.57,7.52,51.67,35.0,46.1,21.07,40.4564081,-74.3969074,"300 Route 18 North,East Brunswick,NJ",Starbucks,Dunkin' Donuts
52,57,East Hanover - Rt 10,405 Route 10 East,,,East Hanover,NJ,121769.0,11241.0,46.16,84.18,0.82,13.04,14.45,50.14,,47.3,19.63,40.8011596,-74.360374,"405 Route 10 East,East Hanover,NJ",McDonald's,Dunkin' Donuts
53,58,Target East Hanover T-1491,130 State Rte 10,,,East Hanover,NJ,121769.0,11241.0,46.16,84.18,0.82,13.04,14.45,50.14,,47.3,19.63,40.81592759999999,-74.39882930000002,"130 State Rte 10,East Hanover,NJ",Dunkin' Donuts,Dunkin' Donuts
54,59,NJ TP Vince Lombardi Travel Plaza,NJTP MM 116,,,Ridgefield Park,NJ,72191.0,13070.0,47.9,69.69,5.87,13.72,42.66,54.58,28.0,39.3,22.81,40.8227899,-74.02967869999999,"NJTP MM 116,Ridgefield Park,NJ",Starbucks,Dunkin' Donuts
55,60,"East Rutherford, Rt. 17",10 State Route 17,,,East Rutherford,NJ,77400.0,9433.0,48.49,68.72,4.7,19.43,20.65,53.04,27.0,39.0,18.46,40.8313531,-74.08887229999999,"10 State Route 17,East Rutherford,NJ",Starbucks,Dunkin' Donuts
56,61,Hilton Meadowlands,2 Meadowlands Plaza,,,East Rutherford,NJ,77400.0,9433.0,48.49,68.72,4.7,19.43,20.65,53.04,27.0,39.0,18.46,40.8051486,-74.0787538,"2 Meadowlands Plaza,East Rutherford,NJ",Starbucks,Dunkin' Donuts
57,62,Eatontown,178 Route 35,,,Eatontown,NJ,66470.0,12258.0,47.75,73.87,10.72,8.34,13.57,52.91,22.0,46.2,19.0,40.29152819999999,-74.0535875,"178 Route 35,Eatontown,NJ",Barnes & Noble,Dunkin' Donuts
58,63,Edgewater,457 River Road,,Edgewater Commons,Edgewater,NJ,103505.0,12165.0,45.45,55.36,5.18,35.66,13.54,52.58,37.0,42.2,20.48,40.813139,-73.9846788,"457 River Road,Edgewater,NJ",Starbucks,Dunkin' Donuts
59,64,Target Edgewater T-1263,543 River Rd,,,Edgewater,NJ,103505.0,12165.0,45.45,55.36,5.18,35.66,13.54,52.58,37.0,42.2,20.48,40.81413810000001,-73.9830259,"543 River Rd,Edgewater,NJ",Starbucks,Dunkin' Donuts
60,65,Edison,1-11 Lincoln Highway,,Colonial Village,Edison,NJ,95622.0,102304.0,48.83,36.35,7.13,49.02,9.58,50.14,34.0,50.2,22.24,40.5594467,-74.3400978,"1-11 Lincoln Highway,Edison,NJ",Auntie Anne's,Dunkin' Donuts
61,66,Macy's-Menlo Park #8,275 Menlo Park Mall,,,Edison,NJ,95622.0,102304.0,48.83,36.35,7.13,49.02,9.58,50.14,34.0,50.2,22.24,40.5475279,-74.3357654,"275 Menlo Park Mall,Edison,NJ",Auntie Anne's,Dunkin' Donuts
62,67,Menlo Park Mall,100 Menol Park Dr.,,Menlo Park Mall,Edison,NJ,95622.0,102304.0,48.83,36.35,7.13,49.02,9.58,50.14,34.0,50.2,22.24,40.5474822,-74.33577269999999,"100 Menol Park Dr.,Edison,NJ",Auntie Anne's,Dunkin' Donuts
63,68,Sheraton Edison,125 Raritan Center Pkwy,,,Edison,NJ,95622.0,102304.0,48.83,36.35,7.13,49.02,9.58,50.14,34.0,50.2,22.24,40.5193292,-74.3408765,"125 Raritan Center Pkwy,Edison,NJ",King George Cafe,Dunkin' Donuts
64,69,Target Edison T-1055,100 Parsonage Rd,,,Edison,NJ,95622.0,102304.0,48.83,36.35,7.13,49.02,9.58,50.14,34.0,50.2,22.24,40.5520186,-74.3321696,"100 Parsonage Rd,Edison,NJ",Auntie Anne's,Dunkin' Donuts
65,70,Jersey Gardens Mall,651 Kapkowski Road,1456,Jersey Gardens,Elizabeth,NJ,45186.0,129363.0,49.8,46.63,19.16,1.79,64.11,48.2,25.0,37.3,26.2,40.6601883,-74.1713372,"651 Kapkowski Road,Elizabeth,NJ",Starbucks,Dunkin' Donuts
66,71,Englewood,17 E. Palisades Avenue,,,Englewood,NJ,80670.0,28509.0,47.08,45.79,30.77,12.33,24.52,51.55,33.0,42.5,21.7,40.8937794,-73.9741185,"17 E. Palisades Avenue,Englewood,NJ",Starbucks,Dunkin' Donuts
67,72,Marlton,300 State Route 73,Space A,,Evesham,NJ,94395.0,45489.0,48.46,85.71,4.97,6.08,4.7,55.11,27.0,43.9,21.03,39.8903095,-74.9239923,"300 State Route 73,Evesham,NJ",Turning Point of Marlton,Dunkin' Donuts
68,73,Target - Fairfield T-1175,632 US Highway 46,,,Fairfield,NJ,52602.0,6300.0,56.52,36.32,46.22,0.29,15.73,34.84,,43.5,19.05,40.8897001,-74.2720345,"632 US Highway 46,Fairfield,NJ",McDonald's,Dunkin' Donuts
69,75,Fair Lawn Promanade,16-31 state route 208,,,Fair Lawn,NJ,109747.0,33447.0,47.55,81.94,1.64,13.25,13.68,52.96,29.0,45.4,21.77,40.9431067,-74.1287913,"16-31 state route 208,Fair Lawn,NJ",Panera Bread,Dunkin' Donuts
70,76,240 Route 202 - Flemington,240 Route 202,,,Flemington,NJ,60869.0,4650.0,48.92,72.86,1.89,13.96,33.27,48.8,,37.2,23.76,40.4904566,-74.862088,"240 Route 202,Flemington,NJ",McDonald's,Dunkin' Donuts
71,77,Florham Park,184 Columbia Turnpike,,,Florham Park,NJ,123266.0,11792.0,47.18,83.75,4.27,10.85,6.65,53.12,,44.6,15.25,40.7899517,-74.3930374,"184 Columbia Turnpike,Florham Park,NJ",Panera Bread,Dunkin' Donuts
72,78,Forked River Travel Plaza-Gdn St. P,Garden State Parkway,Mile Marker 74.5,,Lacey,NJ,78649.0,28444.0,48.65,96.92,0.82,1.18,4.74,49.1,,44.3,20.52,39.8680325,-74.21781349999999,"Garden State Parkway,Lacey,NJ",Starbucks,
73,79,Acme - Fort Lee #1065,2160 Lemoine Ave,,,Fort Lee,NJ,76578.0,37058.0,45.83,50.46,2.59,41.42,13.1,48.41,34.0,54.4,16.98,40.8560522,-73.96639019999999,"2160 Lemoine Ave,Fort Lee,NJ",Starbucks,Dunkin' Donuts
74,80,Fort Lee - Linwood Plaza,136-38 Linwood Plaza,,Linwood Plaza Shopping Center,Fort Lee,NJ,76578.0,37058.0,45.83,50.46,2.59,41.42,13.1,48.41,34.0,54.4,16.98,40.8612935,-73.97044530000001,"136-38 Linwood Plaza,Fort Lee,NJ",Starbucks,Dunkin' Donuts
75,81,"Fort Lee, Bergen Blvd.",1616 Bergen Blvd.,,,Fort Lee,NJ,76578.0,37058.0,45.83,50.46,2.59,41.42,13.1,48.41,34.0,54.4,16.98,40.85553580000001,-73.9830537,"1616 Bergen Blvd.,Fort Lee,NJ",Starbucks,Dunkin' Donuts
76,82,"Fort Lee, Route 4 E",2215 SR-4 East,,,Fort Lee,NJ,76578.0,37058.0,45.83,50.46,2.59,41.42,13.1,48.41,34.0,54.4,16.98,40.86381739999999,-73.9752079,"2215 SR-4 East,Fort Lee,NJ",Starbucks,Dunkin' Donuts
77,83,Lemoine Ave.,1605 Lemoine Ave.,,Whitman Plaza,Fort Lee,NJ,76578.0,37058.0,45.83,50.46,2.59,41.42,13.1,48.41,34.0,54.4,16.98,40.84928439999999,-73.9709274,"1605 Lemoine Ave.,Fort Lee,NJ",Starbucks,Dunkin' Donuts
78,84,"Franklin, NJ",111 Rt. 23 South,,,Franklin,NJ,57232.0,4849.0,47.64,94.04,4.62,0.72,7.34,51.8,,43.1,20.97,41.1088992,-74.5808595,"111 Rt. 23 South,Franklin,NJ",QuickChek,Dunkin' Donuts
79,89,Franklin Lakes,816 High Mountain Rd.,,Urban Farms Shopping Center,Franklin Lakes,NJ,155458.0,10953.0,49.69,85.34,1.78,8.49,7.62,46.32,,48.9,23.14,40.9952229,-74.2132768,"816 High Mountain Rd.,Franklin Lakes,NJ",Starbucks,
80,90,Stop & Shop-Franklin #802,3333 Rt. 27,,,Franklin,NJ,57232.0,4849.0,47.64,94.04,4.62,0.72,7.34,51.8,,43.1,20.97,40.4294488,-74.5589589,"3333 Rt. 27,Franklin,NJ",Starbucks,Dunkin' Donuts
81,95,Freehold,621 U.S Highway 9,,,Freehold,NJ,99827.0,35429.0,49.93,83.24,5.57,7.33,8.9,49.59,,42.6,22.14,40.2102494,-74.2576694,"621 U.S Highway 9,Freehold,NJ",Dunkin' Donuts,Dunkin' Donuts
